# Time-averaged data for fix amsd
# TimeStep c_msd[1] c_msd[2] c_msd[3] c_msd[4]
194 0.00963734 0.00971597 0.00967035 0.0290237
195 0.00964022 0.00971682 0.00967349 0.0290305
196 0.00964277 0.00971731 0.00967625 0.0290363
197 0.009645 0.00971745 0.00967863 0.0290411
198 0.00964692 0.00971726 0.00968065 0.0290448
199 0.00964854 0.00971674 0.00968232 0.0290476
200 0.00964988 0.0097159 0.00968363 0.0290494
201 0.00965093 0.00971477 0.00968462 0.0290503
202 0.00965172 0.00971334 0.00968527 0.0290503
203 0.00965224 0.00971163 0.0096856 0.0290495
204 0.00965252 0.00970965 0.00968563 0.0290478
205 0.00965256 0.00970741 0.00968535 0.0290453
206 0.00965236 0.00970492 0.00968477 0.0290421
207 0.00965195 0.00970219 0.00968391 0.029038
208 0.00965132 0.00969922 0.00968278 0.0290333
209 0.00965049 0.00969604 0.00968137 0.0290279
210 0.00964946 0.00969263 0.0096797 0.0290218
211 0.00964825 0.00968903 0.00967778 0.0290151
212 0.00964685 0.00968522 0.00967561 0.0290077
213 0.00964529 0.00968122 0.0096732 0.0289997
214 0.00964356 0.00967703 0.00967056 0.0289912
215 0.00964168 0.00967267 0.00966769 0.028982
216 0.00963965 0.00966814 0.0096646 0.0289724
217 0.00963748 0.00966344 0.0096613 0.0289622
218 0.00963517 0.00965858 0.0096578 0.0289515
219 0.00963274 0.00965356 0.00965409 0.0289404
220 0.00963019 0.0096484 0.00965019 0.0289288
221 0.00962752 0.0096431 0.0096461 0.0289167
222 0.00962474 0.00963765 0.00964182 0.0289042
223 0.00962186 0.00963207 0.00963737 0.0288913
224 0.00961888 0.00962636 0.00963275 0.028878
225 0.0096158 0.00962052 0.00962795 0.0288643
226 0.00961264 0.00961455 0.00962299 0.0288502
227 0.0096094 0.00960847 0.00961788 0.0288357
228 0.00960607 0.00960227 0.00961261 0.028821
229 0.00960267 0.00959595 0.00960719 0.0288058
230 0.0095992 0.00958953 0.00960162 0.0287904
231 0.00959566 0.00958299 0.00959591 0.0287746
232 0.00959206 0.00957635 0.00959007 0.0287585
233 0.0095884 0.00956961 0.00958409 0.0287421
234 0.00958467 0.00956276 0.00957798 0.0287254
235 0.00958089 0.00955582 0.00957175 0.0287085
236 0.00957706 0.00954877 0.00956539 0.0286912
237 0.00957318 0.00954164 0.00955892 0.0286737
238 0.00956924 0.00953441 0.00955233 0.028656
239 0.00956526 0.0095271 0.00954563 0.028638
240 0.00956124 0.0095197 0.00953882 0.0286198
241 0.00955717 0.00951222 0.00953191 0.0286013
242 0.00955305 0.00950465 0.00952489 0.0285826
243 0.0095489 0.00949701 0.00951778 0.0285637
244 0.0095447 0.00948929 0.00951058 0.0285446
245 0.00954046 0.0094815 0.00950328 0.0285252
246 0.00953618 0.00947364 0.00949589 0.0285057
