# Time-averaged data for fix avacf
# TimeStep c_vacf[1] c_vacf[2] c_vacf[3] c_vacf[4]
199 -0.172256 -0.169123 -0.163289 -0.504667
200 -0.167235 -0.164448 -0.158237 -0.489921
201 -0.162284 -0.159851 -0.153267 -0.475402
202 -0.157405 -0.155332 -0.148381 -0.461118
203 -0.1526 -0.150894 -0.143579 -0.447073
204 -0.147871 -0.146537 -0.138865 -0.433273
205 -0.14322 -0.142262 -0.134239 -0.419722
206 -0.13865 -0.13807 -0.129704 -0.406424
207 -0.134162 -0.133962 -0.12526 -0.393385
208 -0.129759 -0.12994 -0.120908 -0.380606
209 -0.125441 -0.126002 -0.11665 -0.368093
210 -0.12121 -0.122151 -0.112485 -0.355847
211 -0.117069 -0.118387 -0.108416 -0.343871
212 -0.113017 -0.114709 -0.104441 -0.332168
213 -0.109057 -0.11112 -0.100563 -0.320739
214 -0.105189 -0.107618 -0.0967796 -0.309587
215 -0.101415 -0.104204 -0.0930923 -0.298711
216 -0.0977342 -0.100879 -0.0895008 -0.288114
217 -0.0941486 -0.0976418 -0.0860047 -0.277795
218 -0.0906583 -0.0944927 -0.082604 -0.267755
219 -0.0872637 -0.0914315 -0.0792982 -0.257993
220 -0.083965 -0.088458 -0.0760867 -0.24851
221 -0.0807624 -0.0855718 -0.0729691 -0.239303
222 -0.0776558 -0.0827724 -0.0699446 -0.230373
223 -0.0746452 -0.0800593 -0.0670125 -0.221717
224 -0.0717303 -0.0774316 -0.064172 -0.213334
225 -0.0689107 -0.0748888 -0.0614221 -0.205222
226 -0.0661859 -0.07243 -0.0587619 -0.197378
227 -0.0635555 -0.0700542 -0.0561903 -0.1898
228 -0.0610186 -0.0677604 -0.0537062 -0.182485
229 -0.0585746 -0.0655476 -0.0513084 -0.175431
230 -0.0562225 -0.0634147 -0.0489956 -0.168633
231 -0.0539614 -0.0613604 -0.0467665 -0.162088
232 -0.0517902 -0.0593835 -0.0446199 -0.155794
233 -0.0497077 -0.0574827 -0.0425541 -0.149745
234 -0.0477128 -0.0556568 -0.0405679 -0.143937
235 -0.045804 -0.0539043 -0.0386596 -0.138368
236 -0.04398 -0.0522238 -0.0368278 -0.133032
237 -0.0422392 -0.050614 -0.0350708 -0.127924
238 -0.0405802 -0.0490733 -0.033387 -0.123041
239 -0.0390013 -0.0476003 -0.0317748 -0.118376
240 -0.0375008 -0.0461935 -0.0302326 -0.113927
241 -0.036077 -0.0448513 -0.0287585 -0.109687
242 -0.0347279 -0.0435721 -0.0273509 -0.105651
243 -0.0334517 -0.0423544 -0.026008 -0.101814
244 -0.0322465 -0.0411965 -0.0247281 -0.0981711
245 -0.0311102 -0.0400967 -0.0235094 -0.0947163
246 -0.0300408 -0.0390534 -0.0223501 -0.0914443
247 -0.0290362 -0.0380649 -0.0212484 -0.0883495
248 -0.0280943 -0.0371293 -0.0202025 -0.0854261
249 -0.0272128 -0.0362449 -0.0192107 -0.0826684
250 -0.0263897 -0.0354097 -0.0182709 -0.0800704
251 -0.0256225 -0.0346221 -0.0173816 -0.0776262
252 -0.0249091 -0.03388 -0.0165407 -0.0753298
253 -0.0242472 -0.0331816 -0.0157465 -0.0731752
254 -0.0236344 -0.0325248 -0.0149972 -0.0711563
