# Time-averaged data for fix amsd
# TimeStep c_msd[1] c_msd[2] c_msd[3] c_msd[4]
246 0.000621918 0.00060395 0.00060486 0.00183073
247 0.000626947 0.000608833 0.000609747 0.00184553
248 0.000631997 0.000613735 0.000614653 0.00186039
249 0.000637066 0.000618656 0.000619579 0.0018753
250 0.000642155 0.000623597 0.000624524 0.00189028
251 0.000647264 0.000628557 0.000629488 0.00190531
252 0.000652393 0.000633536 0.000634471 0.0019204
253 0.000657542 0.000638534 0.000639474 0.00193555
254 0.00066271 0.000643551 0.000644495 0.00195076
255 0.000667899 0.000648588 0.000649536 0.00196602
256 0.000673107 0.000653644 0.000654596 0.00198135
257 0.000678335 0.000658719 0.000659676 0.00199673
258 0.000683583 0.000663814 0.000664774 0.00201217
259 0.000688851 0.000668928 0.000669892 0.00202767
260 0.000694139 0.000674061 0.000675029 0.00204323
261 0.000699446 0.000679213 0.000680186 0.00205885
262 0.000704774 0.000684385 0.000685361 0.00207452
263 0.000710121 0.000689575 0.000690556 0.00209025
264 0.000715489 0.000694786 0.00069577 0.00210604
265 0.000720876 0.000700015 0.000701004 0.00212189
266 0.000726283 0.000705264 0.000706257 0.0021378
267 0.00073171 0.000710532 0.000711529 0.00215377
268 0.000737157 0.000715819 0.00071682 0.0021698
269 0.000742624 0.000721126 0.00072213 0.00218588
270 0.000748111 0.000726452 0.00072746 0.00220202
271 0.000753617 0.000731798 0.000732809 0.00221822
272 0.000759144 0.000737162 0.000738178 0.00223448
273 0.000764691 0.000742546 0.000743565 0.0022508
274 0.000770257 0.00074795 0.000748972 0.00226718
275 0.000775844 0.000753372 0.000754399 0.00228361
276 0.00078145 0.000758814 0.000759844 0.00230011
277 0.000787077 0.000764276 0.000765309 0.00231666
278 0.000792723 0.000769757 0.000770794 0.00233327
279 0.00079839 0.000775257 0.000776297 0.00234994
280 0.000804076 0.000780776 0.00078182 0.00236667
281 0.000809782 0.000786315 0.000787362 0.00238346
282 0.000815509 0.000791874 0.000792924 0.00240031
283 0.000821255 0.000797451 0.000798505 0.00241721
284 0.000827022 0.000803048 0.000804106 0.00243418
285 0.000832808 0.000808665 0.000809725 0.0024512
286 0.000838614 0.000814301 0.000815364 0.00246828
287 0.000844441 0.000819956 0.000821023 0.00248542
288 0.000850287 0.00082563 0.000826701 0.00250262
289 0.000856154 0.000831325 0.000832398 0.00251988
290 0.00086204 0.000837038 0.000838114 0.00253719
291 0.000867947 0.000842771 0.00084385 0.00255457
292 0.000873874 0.000848523 0.000849606 0.002572
293 0.00087982 0.000854295 0.000855381 0.0025895
294 0.000885787 0.000860086 0.000861175 0.00260705
295 0.000891774 0.000865897 0.000866988 0.00262466
296 0.000897781 0.000871727 0.000872821 0.00264233
297 0.000903808 0.000877577 0.000878674 0.00266006
298 0.000909855 0.000883446 0.000884546 0.00267785
299 0.000915922 0.000889334 0.000890437 0.00269569
300 0.000922009 0.000895242 0.000896348 0.0027136
301 0.000928116 0.00090117 0.000902278 0.00273156
302 0.000934244 0.000907117 0.000908228 0.00274959
303 0.000940391 0.000913083 0.000914197 0.00276767
304 0.000946559 0.000919069 0.000920185 0.00278581
305 0.000952747 0.000925075 0.000926193 0.00280401
306 0.000958955 0.000931099 0.00093222 0.00282227
307 0.000965183 0.000937144 0.000938267 0.00284059
308 0.000971431 0.000943208 0.000944334 0.00285897
309 0.000977699 0.000949291 0.00095042 0.00287741
310 0.000983988 0.000955394 0.000956525 0.00289591
311 0.000990297 0.000961517 0.00096265 0.00291446
312 0.000996625 0.000967659 0.000968794 0.00293308
313 0.00100297 0.00097382 0.000974958 0.00295175
314 0.00100934 0.000980002 0.000981141 0.00297049
315 0.00101573 0.000986202 0.000987344 0.00298928
316 0.00102214 0.000992423 0.000993566 0.00300813
317 0.00102857 0.000998662 0.000999808 0.00302704
318 0.00103502 0.00100492 0.00100607 0.00304601
319 0.00104149 0.0010112 0.00101235 0.00306504
320 0.00104798 0.0010175 0.00101865 0.00308413
321 0.00105449 0.00102382 0.00102497 0.00310328
322 0.00106102 0.00103015 0.00103131 0.00312249
323 0.00106757 0.00103651 0.00103767 0.00314176
324 0.00107415 0.00104289 0.00104405 0.00316108
325 0.00108074 0.00104929 0.00105045 0.00318047
326 0.00108735 0.0010557 0.00105686 0.00319991
327 0.00109398 0.00106214 0.0010633 0.00321942
328 0.00110063 0.00106859 0.00106976 0.00323898
329 0.00110731 0.00107507 0.00107623 0.00325861
330 0.001114 0.00108156 0.00108273 0.00327829
331 0.00112071 0.00108808 0.00108925 0.00329803
332 0.00112744 0.00109461 0.00109578 0.00331783
333 0.0011342 0.00110116 0.00110234 0.0033377
334 0.00114097 0.00110774 0.00110891 0.00335762
335 0.00114776 0.00111433 0.0011155 0.0033776
