# Time-averaged data for fix avacf
# TimeStep c_vacf[1] c_vacf[2] c_vacf[3] c_vacf[4]
229 1.01458 0.985337 0.986571 2.98649
230 1.01444 0.985205 0.986431 2.98608
231 1.01431 0.985073 0.986292 2.98568
232 1.01418 0.984943 0.986154 2.98528
233 1.01405 0.984814 0.986017 2.98488
234 1.01392 0.984687 0.985881 2.98449
235 1.01379 0.98456 0.985747 2.9841
236 1.01367 0.984435 0.985614 2.98371
237 1.01354 0.984312 0.985482 2.98333
238 1.01342 0.98419 0.985352 2.98296
239 1.01329 0.984069 0.985223 2.98259
240 1.01317 0.98395 0.985096 2.98222
241 1.01306 0.983832 0.98497 2.98186
242 1.01294 0.983715 0.984845 2.9815
243 1.01282 0.9836 0.984722 2.98114
244 1.01271 0.983487 0.984601 2.9808
245 1.01259 0.983375 0.984481 2.98045
246 1.01248 0.983265 0.984362 2.98011
247 1.01237 0.983156 0.984245 2.97977
248 1.01227 0.983048 0.984129 2.97944
249 1.01216 0.982942 0.984015 2.97912
250 1.01205 0.982838 0.983903 2.97879
251 1.01195 0.982735 0.983792 2.97848
252 1.01185 0.982634 0.983682 2.97816
253 1.01175 0.982535 0.983574 2.97786
254 1.01165 0.982436 0.983468 2.97755
255 1.01155 0.98234 0.983363 2.97726
256 1.01146 0.982245 0.983259 2.97696
257 1.01136 0.982151 0.983158 2.97667
258 1.01127 0.982059 0.983057 2.97639
259 1.01118 0.981969 0.982958 2.97611
260 1.01109 0.98188 0.982861 2.97583
261 1.011 0.981792 0.982765 2.97556
262 1.01092 0.981706 0.982671 2.97529
263 1.01083 0.981622 0.982578 2.97503
264 1.01075 0.981539 0.982486 2.97477
265 1.01067 0.981457 0.982396 2.97452
266 1.01059 0.981377 0.982308 2.97427
267 1.01051 0.981298 0.982221 2.97403
268 1.01043 0.981221 0.982135 2.97379
269 1.01036 0.981145 0.98205 2.97355
270 1.01028 0.981071 0.981967 2.97332
271 1.01021 0.980998 0.981886 2.97309
272 1.01014 0.980926 0.981806 2.97287
273 1.01007 0.980856 0.981727 2.97265
274 1.01 0.980786 0.981649 2.97243
275 1.00993 0.980719 0.981573 2.97222
276 1.00987 0.980652 0.981498 2.97202
277 1.0098 0.980587 0.981424 2.97181
278 1.00974 0.980523 0.981352 2.97161
279 1.00968 0.980461 0.98128 2.97142
280 1.00962 0.980399 0.98121 2.97123
281 1.00956 0.980339 0.981142 2.97104
282 1.0095 0.98028 0.981074 2.97085
283 1.00944 0.980222 0.981008 2.97067
284 1.00938 0.980166 0.980942 2.97049
285 1.00933 0.98011 0.980878 2.97032
286 1.00928 0.980056 0.980815 2.97015
287 1.00922 0.980003 0.980754 2.96998
288 1.00917 0.979951 0.980693 2.96982
289 1.00912 0.9799 0.980633 2.96966
290 1.00907 0.97985 0.980575 2.9695
291 1.00903 0.979801 0.980517 2.96934
292 1.00898 0.979753 0.98046 2.96919
293 1.00893 0.979706 0.980405 2.96905
294 1.00889 0.97966 0.98035 2.9689
295 1.00885 0.979615 0.980297 2.96876
296 1.0088 0.979572 0.980244 2.96862
297 1.00876 0.979529 0.980193 2.96848
298 1.00872 0.979487 0.980142 2.96835
299 1.00868 0.979446 0.980092 2.96822
300 1.00864 0.979406 0.980044 2.96809
301 1.0086 0.979367 0.979996 2.96797
302 1.00857 0.979328 0.979949 2.96784
303 1.00853 0.979291 0.979902 2.96773
304 1.0085 0.979254 0.979857 2.96761
305 1.00846 0.979219 0.979813 2.96749
306 1.00843 0.979184 0.979769 2.96738
307 1.0084 0.97915 0.979726 2.96727
308 1.00837 0.979116 0.979684 2.96717
309 1.00833 0.979084 0.979643 2.96706
310 1.0083 0.979052 0.979602 2.96696
311 1.00828 0.979021 0.979563 2.96686
312 1.00825 0.978991 0.979524 2.96676
313 1.00822 0.978962 0.979486 2.96667
314 1.00819 0.978933 0.979448 2.96657
315 1.00817 0.978905 0.979412 2.96648
316 1.00814 0.978878 0.979376 2.96639
317 1.00812 0.978851 0.97934 2.96631
318 1.00809 0.978826 0.979306 2.96622
319 1.00807 0.9788 0.979272 2.96614
320 1.00805 0.978776 0.979238 2.96606
321 1.00802 0.978752 0.979206 2.96598
322 1.008 0.978729 0.979174 2.96591
323 1.00798 0.978706 0.979142 2.96583
324 1.00796 0.978684 0.979112 2.96576
325 1.00794 0.978663 0.979081 2.96569
326 1.00792 0.978642 0.979052 2.96562
327 1.00791 0.978622 0.979023 2.96555
328 1.00789 0.978603 0.978995 2.96549
329 1.00787 0.978584 0.978967 2.96542
330 1.00786 0.978565 0.97894 2.96536
331 1.00784 0.978548 0.978913 2.9653
332 1.00783 0.97853 0.978887 2.96524
333 1.00781 0.978514 0.978861 2.96519
334 1.0078 0.978497 0.978836 2.96513
335 1.00778 0.978482 0.978812 2.96508
336 1.00777 0.978466 0.978788 2.96502
337 1.00776 0.978452 0.978764 2.96497
338 1.00775 0.978438 0.978741 2.96492
339 1.00773 0.978424 0.978719 2.96488
340 1.00772 0.978411 0.978697 2.96483
341 1.00771 0.978398 0.978675 2.96479
342 1.0077 0.978386 0.978654 2.96474
343 1.00769 0.978374 0.978633 2.9647
344 1.00768 0.978363 0.978613 2.96466
345 1.00768 0.978352 0.978593 2.96462
346 1.00767 0.978341 0.978574 2.96458
347 1.00766 0.978331 0.978555 2.96455
348 1.00765 0.978321 0.978537 2.96451
349 1.00765 0.978312 0.978519 2.96448
350 1.00764 0.978303 0.978501 2.96444
351 1.00763 0.978295 0.978484 2.96441
352 1.00763 0.978287 0.978467 2.96438
353 1.00762 0.978279 0.97845 2.96435
354 1.00762 0.978272 0.978434 2.96432
355 1.00761 0.978265 0.978418 2.9643
356 1.00761 0.978258 0.978403 2.96427
357 1.00761 0.978252 0.978388 2.96425
358 1.0076 0.978246 0.978373 2.96422
359 1.0076 0.97824 0.978359 2.9642
360 1.0076 0.978235 0.978344 2.96418
361 1.0076 0.97823 0.978331 2.96416
362 1.00759 0.978225 0.978317 2.96414
363 1.00759 0.978221 0.978304 2.96412
364 1.00759 0.978217 0.978291 2.9641
365 1.00759 0.978213 0.978279 2.96408
366 1.00759 0.97821 0.978266 2.96406
367 1.00759 0.978206 0.978254 2.96405
368 1.00759 0.978203 0.978242 2.96403
369 1.00759 0.978201 0.978231 2.96402
370 1.00759 0.978198 0.97822 2.96401
371 1.00759 0.978196 0.978209 2.96399
372 1.00759 0.978194 0.978198 2.96398
373 1.00759 0.978192 0.978187 2.96397
374 1.00759 0.978191 0.978177 2.96396
375 1.00759 0.978189 0.978167 2.96395
376 1.0076 0.978188 0.978157 2.96394
377 1.0076 0.978187 0.978147 2.96393
378 1.0076 0.978187 0.978138 2.96392
379 1.0076 0.978186 0.978129 2.96392
380 1.0076 0.978186 0.97812 2.96391
381 1.00761 0.978186 0.978111 2.9639
382 1.00761 0.978186 0.978102 2.9639
383 1.00761 0.978186 0.978093 2.96389
384 1.00762 0.978186 0.978085 2.96389
385 1.00762 0.978186 0.978076 2.96388
386 1.00762 0.978187 0.978068 2.96388
387 1.00763 0.978188 0.97806 2.96387
388 1.00763 0.978188 0.978052 2.96387
389 1.00763 0.978189 0.978044 2.96387
390 1.00764 0.97819 0.978036 2.96386
391 1.00764 0.978191 0.978029 2.96386
392 1.00765 0.978193 0.978021 2.96386
393 1.00765 0.978194 0.978014 2.96386
394 1.00766 0.978195 0.978006 2.96386
395 1.00766 0.978197 0.977999 2.96385
396 1.00766 0.978198 0.977992 2.96385
397 1.00767 0.978199 0.977984 2.96385
398 1.00767 0.978201 0.977977 2.96385
399 1.00768 0.978203 0.97797 2.96385
400 1.00768 0.978204 0.977963 2.96385
401 1.00769 0.978206 0.977956 2.96385
402 1.00769 0.978208 0.977949 2.96385
403 1.0077 0.978209 0.977942 2.96385
404 1.0077 0.978211 0.977935 2.96385
405 1.00771 0.978212 0.977928 2.96385
406 1.00771 0.978214 0.977921 2.96385
407 1.00772 0.978216 0.977913 2.96384
408 1.00772 0.978217 0.977906 2.96384
409 1.00772 0.978219 0.977899 2.96384
410 1.00773 0.97822 0.977892 2.96384
411 1.00773 0.978222 0.977885 2.96384
412 1.00774 0.978223 0.977877 2.96384
413 1.00774 0.978224 0.97787 2.96384
414 1.00775 0.978226 0.977863 2.96384
415 1.00775 0.978227 0.977855 2.96383
416 1.00776 0.978228 0.977848 2.96383
417 1.00776 0.978229 0.97784 2.96383
418 1.00776 0.97823 0.977832 2.96382
419 1.00777 0.978231 0.977824 2.96382
420 1.00777 0.978231 0.977816 2.96382
421 1.00777 0.978232 0.977808 2.96381
422 1.00778 0.978232 0.9778 2.96381
423 1.00778 0.978232 0.977791 2.9638
424 1.00778 0.978233 0.977783 2.9638
425 1.00779 0.978233 0.977774 2.96379
426 1.00779 0.978232 0.977765 2.96379
427 1.00779 0.978232 0.977756 2.96378
428 1.0078 0.978231 0.977747 2.96377
429 1.0078 0.978231 0.977738 2.96377
430 1.0078 0.97823 0.977728 2.96376
431 1.0078 0.978229 0.977718 2.96375
432 1.0078 0.978227 0.977708 2.96374
433 1.00781 0.978226 0.977698 2.96373
434 1.00781 0.978224 0.977688 2.96372
435 1.00781 0.978222 0.977677 2.96371
436 1.00781 0.97822 0.977667 2.9637
437 1.00781 0.978218 0.977656 2.96368
438 1.00781 0.978215 0.977644 2.96367
439 1.00781 0.978212 0.977633 2.96366
440 1.00781 0.978209 0.977621 2.96364
441 1.00781 0.978206 0.977609 2.96362
442 1.00781 0.978202 0.977597 2.96361
443 1.00781 0.978198 0.977584 2.96359
444 1.00781 0.978194 0.977571 2.96357
445 1.00781 0.97819 0.977558 2.96355
446 1.0078 0.978185 0.977545 2.96353
447 1.0078 0.97818 0.977531 2.96351
448 1.0078 0.978175 0.977517 2.96349
449 1.0078 0.978169 0.977503 2.96347
450 1.00779 0.978163 0.977489 2.96345
451 1.00779 0.978157 0.977474 2.96342
452 1.00779 0.97815 0.977458 2.9634
453 1.00778 0.978143 0.977443 2.96337
454 1.00778 0.978136 0.977427 2.96334
455 1.00777 0.978128 0.977411 2.96331
456 1.00777 0.97812 0.977394 2.96328
457 1.00776 0.978112 0.977377 2.96325
458 1.00776 0.978104 0.97736 2.96322
459 1.00775 0.978095 0.977343 2.96319
460 1.00775 0.978085 0.977325 2.96316
461 1.00774 0.978075 0.977306 2.96312
462 1.00773 0.978065 0.977288 2.96308
463 1.00772 0.978055 0.977268 2.96305
464 1.00772 0.978044 0.977249 2.96301
465 1.00771 0.978033 0.977229 2.96297
466 1.0077 0.978021 0.977209 2.96293
467 1.00769 0.978009 0.977188 2.96289
468 1.00768 0.977996 0.977167 2.96284
469 1.00767 0.977984 0.977146 2.9628
470 1.00766 0.97797 0.977124 2.96275
471 1.00765 0.977957 0.977101 2.96271
472 1.00764 0.977942 0.977079 2.96266
473 1.00763 0.977928 0.977056 2.96261
474 1.00761 0.977913 0.977032 2.96256
475 1.0076 0.977897 0.977008 2.96251
476 1.00759 0.977881 0.976983 2.96245
477 1.00757 0.977865 0.976959 2.9624
478 1.00756 0.977848 0.976933 2.96234
479 1.00754 0.977831 0.976907 2.96228
480 1.00753 0.977813 0.976881 2.96222
481 1.00751 0.977795 0.976854 2.96216
482 1.0075 0.977777 0.976827 2.9621
483 1.00748 0.977758 0.976799 2.96204
484 1.00747 0.977738 0.976771 2.96197
485 1.00745 0.977718 0.976743 2.96191
486 1.00743 0.977697 0.976714 2.96184
487 1.00741 0.977676 0.976684 2.96177
488 1.00739 0.977655 0.976654 2.9617
489 1.00737 0.977633 0.976623 2.96163
490 1.00735 0.97761 0.976592 2.96156
491 1.00733 0.977587 0.976561 2.96148
492 1.00731 0.977564 0.976529 2.9614
493 1.00729 0.97754 0.976496 2.96133
494 1.00727 0.977515 0.976463 2.96125
495 1.00725 0.97749 0.976429 2.96117
496 1.00722 0.977465 0.976395 2.96108
497 1.0072 0.977439 0.97636 2.961
