Time,TotEng,Temp,Press,,Step,TotEng,Temp,Press,Density
1.52,-2.9942355,1.3181338,2.6993303,,1520,-1.4352831,1.4739397,0.94442507,0.58465291
1.53,-2.9951328,1.2942882,2.810742,,1530,-1.4233048,1.5025006,0.88413234,0.58561496
1.54,-2.9950103,1.2834343,2.8657257,,1540,-1.4123098,1.5311828,0.82818726,0.58660931
1.55,-2.9954281,1.2812052,2.879801,,1550,-1.4025872,1.544321,0.83116745,0.58764663
1.56,-2.9953085,1.2663194,2.9499385,,1560,-1.3942269,1.5369941,0.91022714,0.58872663
1.57,-2.9952685,1.2374818,3.0796387,,1570,-1.3837807,1.5222454,1.0247008,0.58983479
1.58,-2.9955327,1.2304812,3.1094816,,1580,-1.3733254,1.5175907,1.111058,0.59094984
1.59,-2.9958264,1.2447648,3.0441016,,1590,-1.3649212,1.5196705,1.1738738,0.59205448
1.6,-2.9966087,1.2493571,3.0248777,,1600,-1.3533417,1.5233683,1.2331379,0.59313564
1.61,-2.9972439,1.240309,3.0741663,,1610,-1.3447132,1.5363613,1.2539795,0.59418203
1.62,-2.9977502,1.2324584,3.1239325,,1620,-1.3341935,1.559476,1.2372275,0.59518886
1.63,-2.9981543,1.2398905,3.1080524,,1630,-1.325088,1.5856185,1.2015521,0.59615871
1.64,-2.9981775,1.2543283,3.0622793,,1640,-1.3166573,1.6100807,1.164158,0.59709793
1.65,-2.9963435,1.2579759,3.0690802,,1650,-1.3139897,1.6300899,1.1292301,0.59801366
1.66,-2.9976483,1.2503578,3.12539,,1660,-1.3155779,1.6414682,1.1135362,0.59891227
1.67,-2.9968754,1.2332226,3.231738,,1670,-1.3220672,1.6360067,1.1441247,0.59979621
1.68,-2.9968568,1.2019132,3.3991061,,1680,-1.3350311,1.6090551,1.2332969,0.60065911
1.69,-2.9969605,1.1763756,3.5335666,,1690,-1.3541639,1.5698381,1.3474253,0.60148356
1.7,-2.9958108,1.1796149,3.5321825,,1700,-1.3809399,1.5375895,1.4164487,0.60224763
1.71,-2.9967515,1.1915643,3.4793392,,1710,-1.4130828,1.5198237,1.4148107,0.60293723
1.72,-2.9960954,1.1849412,3.5054207,,1720,-1.4511699,1.5090992,1.366386,0.60355135
1.73,-2.9950243,1.1635435,3.592553,,1730,-1.491193,1.5021127,1.2901371,0.60409848
1.74,-2.9959223,1.1537055,3.6172149,,1740,-1.5336399,1.4966002,1.1983716,0.60459294
1.75,-2.9967165,1.1717266,3.508355,,1750,-1.5769328,1.4842915,1.1274829,0.6050519
1.76,-2.9958146,1.2109883,3.3007516,,1760,-1.6198581,1.4603019,1.1016804,0.60548868
1.77,-2.9963521,1.257136,3.0614192,,1770,-1.6592713,1.4347599,1.0950209,0.60590873
1.78,-2.9961024,1.2900538,2.8913851,,1780,-1.694973,1.4180805,1.0742426,0.60631387
1.79,-2.9964824,1.2971666,2.8474804,,1790,-1.7258845,1.4051443,1.0581679,0.6067078
1.8,-2.9971223,1.2875115,2.8879187,,1800,-1.7519894,1.3846546,1.0845051,0.60709297
1.81,-2.9977718,1.2760561,2.9404646,,1810,-1.7728078,1.3527912,1.164028,0.6074639
1.82,-2.9965969,1.2704652,2.9670968,,1820,-1.7874938,1.3177776,1.2636207,0.60780516
1.83,-2.9975099,1.2737369,2.9435276,,1830,-1.7962676,1.2976636,1.3148274,0.60809767
1.84,-2.9976444,1.2862683,2.8722816,,1840,-1.7996036,1.3070635,1.2642169,0.60833153
1.85,-2.9963452,1.3012049,2.788297,,1850,-1.7981491,1.3341287,1.1532739,0.60851541
1.86,-2.9960825,1.3109936,2.7262191,,1860,-1.7928055,1.3534102,1.0722301,0.60866926
1.87,-2.9966065,1.3159841,2.6893861,,1870,-1.7835542,1.3574417,1.0499553,0.60880834
1.88,-2.9953011,1.315874,2.685289,,1880,-1.7727211,1.3586667,1.0420825,0.60893778
1.89,-2.994384,1.3124612,2.7034212,,1890,-1.7555359,1.3697819,1.0108604,0.6090597
1.9,-2.9949189,1.3067227,2.7384693,,1900,-1.7351431,1.3902613,0.95535449,0.60918024
1.91,-2.9954419,1.2893455,2.8325347,,1910,-1.7115695,1.4122115,0.90471044,0.60930999
1.92,-2.9949058,1.2606426,2.9809203,,1920,-1.6850848,1.4332534,0.86920753,0.60945903
1.93,-2.9955484,1.235823,3.1044928,,1930,-1.6558184,1.4527193,0.85167161,0.60963463
1.94,-2.996197,1.2261812,3.146983,,1940,-1.6238688,1.4686818,0.8572985,0.6098406
1.95,-2.9954149,1.2358581,3.0896831,,1950,-1.5910677,1.484307,0.87112273,0.61007653
1.96,-2.9964733,1.2604994,2.9510414,,1960,-1.5595986,1.5041996,0.87275048,0.61034048
1.97,-2.9959609,1.2852244,2.811195,,1970,-1.5287286,1.5287801,0.86023352,0.61063263
1.98,-2.9963475,1.2962596,2.7364854,,1980,-1.4995371,1.5544609,0.84385022,0.61095581
1.99,-2.9973762,1.2950831,2.7271523,,1990,-1.4718302,1.5817455,0.82351414,0.61131382
2,-2.9965913,1.2907484,2.7489972,,2000,-1.4491461,1.6067296,0.81080132,0.61171121
2.01,-2.9959476,1.2829052,2.7989522,,2010,-1.4298875,1.6156028,0.85657467,0.61215025
2.02,-2.9972517,1.2640784,2.9034751,,2020,-1.4156772,1.6015849,0.98157935,0.61262221
2.03,-2.9960659,1.2364018,3.0552509,,2030,-1.4049529,1.5695631,1.166803,0.61310296
2.04,-2.9974966,1.210833,3.1916141,,2040,-1.3954823,1.5301093,1.3709508,0.6135564
2.05,-2.9985438,1.1939443,3.2825321,,2050,-1.3881458,1.5029728,1.5173245,0.61394267
2.06,-2.9982801,1.1864145,3.3223008,,2060,-1.3838935,1.5111841,1.5227402,0.61423293
2.07,-2.9963159,1.1934255,3.2869604,,2070,-1.3798909,1.5405546,1.4400751,0.61442334
2.08,-2.9963429,1.2188649,3.1562967,,2080,-1.3764082,1.5607132,1.37813,0.61452691
2.09,-2.9966143,1.2414158,3.0332343,,2090,-1.3753582,1.5594028,1.3821775,0.61455396
2.1,-2.9980368,1.2504607,2.9707853,,2100,-1.376916,1.545037,1.4250532,0.61450288
2.11,-2.9988315,1.2526383,2.9481646,,2110,-1.3777499,1.5280894,1.4721129,0.61436439
2.12,-2.9994609,1.2409839,2.9944754,,2120,-1.3822784,1.5162478,1.4863423,0.61412823
2.13,-2.9999717,1.2305218,3.0410214,,2130,-1.3874823,1.5324082,1.3911693,0.61379123
2.14,-3.0003827,1.2308542,3.0429389,,2140,-1.3920452,1.5794867,1.1819252,0.61337089
2.15,-3.0002511,1.2278733,3.0622055,,2150,-1.3992988,1.6222451,0.98214561,0.61290535
2.16,-2.9991993,1.2227805,3.095175,,2160,-1.4101541,1.6372131,0.87973413,0.6124323
2.17,-2.9977814,1.2203776,3.1210973,,2170,-1.4253164,1.6227064,0.8854291,0.61197199
2.18,-2.9975281,1.2068787,3.1982471,,2180,-1.4439627,1.5782611,1.001779,0.61152345
2.19,-2.9976479,1.1774108,3.3465207,,2190,-1.4619156,1.5049174,1.2247176,0.61106362
2.2,-2.9973429,1.1514536,3.4726862,,2200,-1.4805303,1.4182245,1.4877607,0.6105488
2.21,-2.9986643,1.1655821,3.4050127,,2210,-1.4961771,1.3931458,1.5337542,0.60993012
2.22,-2.9975263,1.2057694,3.2115334,,2220,-1.5077621,1.4460587,1.3082927,0.60919782
2.23,-2.9974145,1.2350728,3.0577776,,2230,-1.5168941,1.4921346,1.1014643,0.60838964
2.24,-2.9977842,1.2364877,3.0263461,,2240,-1.5259166,1.5070403,1.0052033,0.60754441
2.25,-2.9977453,1.2360128,3.005319,,2250,-1.534243,1.4954163,1.0105769,0.60668098
2.26,-2.9989599,1.2639556,2.8599517,,2260,-1.5413796,1.4684272,1.0799654,0.60579865
2.27,-2.9976599,1.2907996,2.7285844,,2270,-1.5474357,1.4392462,1.1648629,0.60488418
2.28,-2.9962178,1.300644,2.6837136,,2280,-1.5518189,1.4151608,1.236319,0.60392067
2.29,-2.9959535,1.2956879,2.7156777,,2290,-1.5539508,1.3959274,1.2905965,0.60289314
2.3,-2.9962116,1.2800682,2.8027008,,2300,-1.5535252,1.3824855,1.3208123,0.60178998
2.31,-2.995936,1.2601817,2.9088351,,2310,-1.5497255,1.3771834,1.3176147,0.60060426
2.32,-2.9965854,1.2540725,2.9451199,,2320,-1.5462046,1.3792387,1.2788837,0.59933574
2.33,-2.9977901,1.2626618,2.9076426,,2330,-1.5425188,1.3889558,1.2056544,0.59799118
2.34,-2.9992063,1.2622058,2.9034416,,2340,-1.5368412,1.4065167,1.1024754,0.59658435
2.35,-2.9989392,1.2628183,2.8935015,,2350,-1.5303647,1.4242861,0.99686551,0.59513488
2.36,-2.9998609,1.2684058,2.8542019,,2360,-1.5238398,1.4329553,0.92191538,0.59366305
2.37,-3.0002389,1.2739544,2.8074115,,2370,-1.5157118,1.4307263,0.88694796,0.59218364
2.38,-2.9995804,1.2907364,2.704381,,2380,-1.5076824,1.4219708,0.87448612,0.59070427
2.39,-2.9994595,1.3224703,2.5298534,,2390,-1.4975634,1.4147023,0.85743736,0.58922818
2.4,-3.0006418,1.3590089,2.3354128,,2400,-1.4869268,1.4229756,0.7855478,0.58776004
2.41,-2.9990845,1.3896287,2.1849782,,2410,-1.4730224,1.4543664,0.63889938,0.58631497
2.42,-3.000133,1.4053336,2.1176807,,2420,-1.4589143,1.4954245,0.46312708,0.58492192
2.43,-3.0006493,1.4014294,2.1620004,,2430,-1.443638,1.5276911,0.32590478,0.58361559
